"","All.TMB","Coding.TMB","Expressed.NAg","CIN.Prop","HLA.LOH","HRD.LOH","HRD.TelomericAI","HRD.LST","HRD.sum","COL12A1","COL5A1","DNAH5","GATA3","HMCN1","MACF1","MAP3K1","MT-CO1","MT-CYB","MT-ND1","MT-ND4","MT-ND5","MUC16","MYO3A","NEB","PIK3CA","RYR1","RYR2","SPTA1","SYNE1","TP53","TTN"
"T064",513,254,120,0.310561648332771,0,5,24,7,36,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,1,0
"T065",145,75,36,0.43417543377406,1,9,17,3,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"T066",128,72,14,0.369624434095914,1,7,18,2,27,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
"T067",46,27,19,0.226675755655061,0,2,26,7,35,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"T068",66,33,75,0.278236334466386,0,4,17,8,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T070",141,80,13,0.474648631627992,0,6,20,3,29,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"T071",129,70,34,0.457491579728508,0,21,30,21,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"T072",47,23,23,0.236987571692203,0,6,21,0,27,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"T073",35,15,17,0.197736366264791,1,5,5,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"T074",38,20,0,0.288475081616622,0,5,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"T076",22,16,7,0.192978593380061,1,7,5,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"T078",179,82,58,0.504807635633823,0,10,21,2,33,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
"T079",111,61,68,0.4631177000994,0,6,21,3,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"T080",48,28,5,0.0555344323217984,0,0,16,11,27,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"T083",174,92,48,0.347651154766159,1,6,14,5,25,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
"T086",82,41,30,0.267533497145573,0,4,7,4,15,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
"T087",73,41,14,0.26153144263732,0,10,11,0,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
